taux_humidité,taux_réchauffement,taux_refroidissement,résultat
1.00,1.00,1.00,7
0.00,1.00,0.00,7
0.00,0.00,1.00,7
1.00,1.00,0.00,7
1.00,0.00,1.00,7
0.00,1.00,1.00,7
0.99,0.99,0.99,6
0.90,0.90,0.90,6
0.90,0.00,0.00,6
0.99,0.00,0.00,6
0.00,0.90,0.00,6
0.00,0.99,0.00,6
0.00,0.00,0.90,6
0.00,0.00,0.99,6
0.90,0.90,0.00,6
0.99,0.99,0.00,6
0.90,0.00,0.90,6
0.99,0.99,0.99,6
0.00,0.90,0.90,6
0.00,0.99,0.99,6
0.90,0.99,0.00,6
0.99,0.90,0.00,6
0.90,0.00,0.99,6
0.99,0.00,0.90,6
0.00,0.90,0.99,6
0.00,0.99,0.90,6
0.89,0.89,0.89,5
0.80,0.80,0.80,5
0.80,0.00,0.00,5
0.89,0.00,0.00,5
0.00,0.80,0.00,5
0.00,0.89,0.00,5
0.00,0.00,0.80,5
0.00,0.00,0.89,5
0.80,0.80,0.00,5
0.89,0.89,0.00,5
0.80,0.00,0.80,5
0.89,0.00,0.89,5
0.00,0.80,0.80,5
0.00,0.89,0.89,5
0.80,0.00,0.89,5
0.89,0.00,0.80,5
0.80,0.89,0.00,5
0.89,0.80,0.00,5
0.00,0.80,0.89,5
0.00,0.89,0.80,5
0.60,0.60,0.60,3
0.79,0.79,0.79,3
0.60,0.00,0.00,3
0.69,0.00,0.00,3
0.00,0.60,0.00,3
0.00,0.69,0.00,3
0.00,0.00,0.60,3
0.00,0.00,0.69,3
0.60,0.60,0.00,3
0.69,0.69,0.00,3
0.60,0.00,0.60,3
0.69,0.00,0.69,3
0.00,0.60,0.60,3
0.00,0.69,0.69,3
0.60,0.79,0.00,3
0.79,0.60,0.00,3
0.60,0.00,0.79,3
0.79,0.00,0.60,3
0.00,0.60,0.79,3
0.00,0.79,0.60,3
0.20,0.20,0.20,2
0.59,0.59,0.59,2
0.20,0.00,0.00,2
0.59,0.00,0.00,2
0.00,0.20,0.00,2
0.00,0.59,0.00,2
0.00,0.00,0.20,2
0.00,0.00,0.59,2
0.20,0.20,0.00,2
0.59,0.59,0.00,2
0.20,0.00,0.20,2
0.59,0.00,0.59,2
0.00,0.20,0.20,2
0.00,0.59,0.59,2
0.25,0.30,0.35,2
0.40,0.45,0.50,2
0.55,0.50,0.45,2
0.20,0.59,0.00,2
0.59,0.20,0.00,2
0.20,0.00,0.59,2
0.59,0.00,0.20,2
0.00,0.20,0.59,2
0.00,0.59,0.20,2
0.01,0.01,0.01,1
0.19,0.19,0.19,1
0.01,0.00,0.00,1
0.19,0.00,0.00,1
0.00,0.01,0.00,1
0.00,0.19,0.00,1
0.00,0.00,0.01,1
0.00,0.00,0.19,1
0.01,0.01,0.00,1
0.19,0.19,0.00,1
0.01,0.00,0.01,1
0.19,0.00,0.19,1
0.00,0.01,0.01,1
0.00,0.19,0.19,1
0.01,0.19,0.00,1
0.19,0.01,0.00,1
0.01,0.00,0.19,1
0.19,0.00,0.01,1
0.00,0.01,0.19,1
0.00,0.19,0.01,1
0.85,0.85,0.40,4
0.85,0.40,0.85,4
0.40,0.85,0.85,4
0.90,0.90,0.40,4
0.40,0.90,0.90,4
0.90,0.40,0.90,4
0.79,1.00,1.00,4
1.00,1.00,0.79,4
1.00,0.79,1.00,4
0.90,0.90,0.55,4
0.55,0.90,0.90,4
0.90,0.55,0.90,4
0.85,0.85,0.50,4
0.85,0.50,0.85,4
0.50,0.85,0.85,4
0.90,0.90,0.50,4
0.90,0.50,0.90,4
0.50,0.90,0.90,4
0.95,0.95,0.40,4
0.95,0.40,0.95,4
0.40,0.95,0.95,4
1.00,0.90,0.59,4
0.90,1.00,0.59,4
0.59,1.00,0.90,4
1.00,0.95,0.50,4
0.95,1.00,0.50,4
0.50,1.00,0.95,4
0.90,0.90,0.65,4
0.90,0.65,0.90,4
0.65,0.90,0.90,4
0.95,0.95,0.65,4
0.95,0.65,0.95,4
0.65,0.95,0.95,4
1.00,1.00,0.65,4
1.00,0.65,1.00,4
0.65,1.00,1.00,4
